Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Apple inc,AAPL,"",1280669129.0,148314292000.0,4.91379,4.2569,1,-35291871.0,-2.681833,reduction,7.3867683,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2020,1.45,131.97
Microsoft corp.,MSFT,"",622689597.0,130970303000.0,4.33916,4.5621,2,-9323658.0,-1.475231,reduction,8.2283054,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2020,45.58,222.75
Amazon.com inc.,AMZN,"",32783886.0,103227604000.0,3.42002,3.2266,3,-190145.0,-0.576651,reduction,6.5451314,Q2 2002,CONSUMER DISCRETIONARY,13F,09/30/2020,530.89,3172.69
Facebook inc,FB,"",185310879.0,48532919000.0,1.60794,1.5153,4,-2829119.0,-1.503731,reduction,6.5048389,Q2 2012,COMMUNICATIONS,13F,09/30/2020,82.49,267.4
Johnson & johnson co.,JNJ,"",228984610.0,34091228000.0,1.12947,1.156,5,-2762898.0,-1.192202,reduction,8.6973020,Q2 2002,HEALTH CARE,13F,09/30/2020,83.74,152.47
Alphabet inc. class a,GOOGL,"",23117687.0,33881283000.0,1.12252,1.1753,6,-249389.0,-1.067267,reduction,3.3988420,Q3 2004,COMMUNICATIONS,13F,09/30/2020,499.36,1734.16
Alphabet inc. class c,GOOG,"",22204175.0,32631256000.0,1.0811,1.135,7,-432814.0,-1.911977,reduction,3.2645343,Q2 2014,COMMUNICATIONS,13F,09/30/2020,670.57,1738.85
Procter & gamble co. (oh) (1905),PG,"",220471433.0,30643326000.0,1.01524,0.9463,8,-2647470.0,-1.186574,reduction,8.8556208,Q2 2002,CONSUMER STAPLES,13F,09/30/2020,71.37,137.72
Berkshire hathaway inc class b,BRK.B,"",141358032.0,30100779000.0,0.997266,0.8947,9,46959.0,0.033231,addition,5.9189828,Q2 2002,FINANCE,13F,09/30/2020,125.719,226.53
Visa inc,V,"",145246620.0,29044968000.0,0.962286,1.0087,10,-1973151.0,-1.340276,reduction,6.8259310,Q2 2008,FINANCE,13F,09/30/2020,70.75,208.7
Nvidia corp.,NVDA,"",48498024.0,26248102000.0,0.869623,0.6605,11,-520947.0,-1.062746,reduction,7.8512117,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2020,68.66,519.75
Home depot  inc. (the),HD,"",90546232.0,25145595000.0,0.833096,0.8134,12,-1001395.0,-1.093851,reduction,8.4115164,Q2 2002,CONSUMER DISCRETIONARY,13F,09/30/2020,72.34,270.92
Unitedhealth group inc.,UNH,"",79780738.0,24873240000.0,0.824073,0.8445,13,-946402.0,-1.172347,reduction,8.3950053,Q2 2002,HEALTH CARE,13F,09/30/2020,108.92,340.79
Mastercard inc,MA,"",71813941.0,24285320000.0,0.804595,0.7649,14,-1110890.0,-1.523336,reduction,7.1737836,Q2 2006,FINANCE,13F,09/30/2020,88.22,336.0
Jpmorgan chase & co. (chemical bank),JPM,"",242564327.0,23351669000.0,0.773662,0.7741,15,10541436.0,4.543274,addition,7.9591800,Q2 2002,FINANCE,13F,09/30/2020,51.4369,124.52
Verizon communications (bell atlantic corp.),VZ,"",328950016.0,19569236000.0,0.648346,0.6515,16,-4227023.0,-1.268702,reduction,7.9493894,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,44.48,58.84
Adobe systems  inc.,ADBE,"",38849222.0,19052824000.0,0.631237,0.6106,17,-696554.0,-1.761387,reduction,8.0983291,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2020,77.54,499.86
Walmart inc,WMT,"",133071520.0,18618036000.0,0.616832,0.5749,18,-2237023.0,-1.653276,reduction,4.6959464,Q2 2002,CONSUMER STAPLES,13F,09/30/2020,68.33,143.5
Paypal holdings inc,PYPL,"",94435622.0,18606651000.0,0.616455,0.5916,19,-1300661.0,-1.358587,reduction,8.0487208,Q3 2015,COMMUNICATIONS,13F,09/30/2020,43.74,238.64
Tesla inc,TSLA,"",43281548.0,18568217000.0,0.615182,0.3391,20,-982637.0,-2.219937,reduction,4.6362814,Q3 2010,CONSUMER DISCRETIONARY,13F,09/30/2020,9.06,661.77
Alibaba group holding ltd adr,BABA,"",62523304.0,18380601000.0,0.608966,0.4878,21,-1239639.0,-1.944137,reduction,2.3108537,Q4 2015,COMMUNICATIONS,13F,09/30/2020,171.5,222.0
Intel corp.,INTC,"",352726707.0,18264188000.0,0.605109,0.7558,22,-3412822.0,-0.958282,reduction,8.2935976,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2020,26.56,47.07
Walt disney co. (the),DIS,"",146727288.0,18205922000.0,0.603179,0.5876,23,-1847612.0,-1.243556,reduction,8.1196537,Q2 2002,COMMUNICATIONS,13F,09/30/2020,67.02,173.73
Comcast corp.  class a,CMCSA,"",390444013.0,18061940000.0,0.598408,0.5512,24,-8259937.0,-2.071697,reduction,8.5471851,Q4 2002,COMMUNICATIONS,13F,09/30/2020,26.94,50.38
Salesforce.com inc.,CRM,"",70986051.0,17840215000.0,0.591062,0.4733,25,-246366.0,-0.345862,reduction,7.8006649,Q3 2004,INFORMATION TECHNOLOGY,13F,09/30/2020,81.75,225.78
Merck & co,MRK,"",209865924.0,17408377000.0,0.576755,0.5836,26,-2918763.0,-1.371698,reduction,8.2975849,Q2 2002,HEALTH CARE,13F,09/30/2020,48.49,80.14
Pepsico inc. (loft  inc.),PEP,"",122530511.0,16982730000.0,0.562653,0.5843,27,-2028988.0,-1.628931,reduction,8.8493142,Q2 2002,CONSUMER STAPLES,13F,09/30/2020,78.26,145.06
Netflix inc,NFLX,"",33583091.0,16792553000.0,0.556352,0.5488,28,-418193.0,-1.229933,reduction,7.6149467,Q2 2002,COMMUNICATIONS,13F,09/30/2020,132.94,513.97
Pfizer  inc.,PFE,"",475433774.1,16554477000.0,0.548465,0.5299,29,-6132352.23,-1.273419,reduction,8.1174275,Q2 2002,HEALTH CARE,13F,09/30/2020,29.64,37.27
Abbott laboratories,ABT,"",148155501.0,16123764000.0,0.534195,0.4866,30,-1883336.0,-1.255232,reduction,8.3678617,Q2 2002,HEALTH CARE,13F,09/30/2020,38.71,108.35
At&t inc. (southwestern bell - sbc corp.),T,"",561173481.0,15999055000.0,0.530063,0.612,31,-9553321.0,-1.673887,reduction,7.8761190,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,33.43,28.69
Coca cola co.,KO,"",315699570.0,15586089000.0,0.516381,0.5113,32,-6905892.0,-2.140662,reduction,7.3496464,Q2 2002,CONSUMER STAPLES,13F,09/30/2020,27.1,53.44
Bank of america corp. (north carolina national bank),BAC,"",613530808.0,14779957000.0,0.489673,0.5269,33,-11983872.0,-1.915842,reduction,7.0813006,Q2 2002,FINANCE,13F,09/30/2020,20.19,29.96
Mcdonalds corp.,MCD,"",65430203.0,14361274000.0,0.475802,0.4332,34,-773266.0,-1.168014,reduction,8.7931705,Q2 2002,CONSUMER DISCRETIONARY,13F,09/30/2020,82.57,211.39
Thermo fisher scientific  inc.,TMO,"",31233795.0,13790345000.0,0.456887,0.4053,35,-302223.0,-0.958342,reduction,7.8955086,Q2 2002,HEALTH CARE,13F,09/30/2020,103.83,458.09
American tower corp.  class a,AMT,"",56368296.0,13625907000.0,0.451439,0.5263,36,-1021022.0,-1.779115,reduction,12.7078512,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,107.13,218.65
Costco co.,COST,"",37412602.0,13281475000.0,0.440027,0.408,37,-522209.0,-1.376596,reduction,8.4786806,Q2 2002,CONSUMER STAPLES,13F,09/30/2020,111.74,364.58
Cisco systems  inc.,CSCO,"",334105443.0,13160413000.0,0.436016,0.5611,38,-5096944.0,-1.502626,reduction,7.8920831,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2020,21.92,44.54
Nike inc.,NKE,"",104287704.0,13092278000.0,0.433759,0.3658,39,-882881.0,-0.839475,reduction,6.6855869,Q2 2002,CONSUMER DISCRETIONARY,13F,09/30/2020,43.25,141.6
Abbvie inc,ABBV,"",144334850.0,12642290000.0,0.418851,0.5133,40,-3051958.0,-2.070713,reduction,8.1783846,Q4 2012,HEALTH CARE,13F,09/30/2020,,103.26
Accenture plc,ACN,"",55861123.0,12624056000.0,0.418246,0.4311,41,-740133.0,-1.307626,reduction,8.7845767,Q2 2003,INFORMATION TECHNOLOGY,13F,09/30/2020,85.65,257.3
Broadcom ltd. (avago technologies),AVGO,"",33978878.0,12379186000.0,0.410134,0.3745,42,528280.0,1.579284,addition,8.4001894,Q3 2009,INFORMATION TECHNOLOGY,13F,09/30/2020,143.2808,431.46
Nextera energy inc.,NEE,"",177927476.0,12346388000.0,0.409047,0.382,43,-1422928.0,-0.793379,reduction,9.0844629,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,26.03,74.98
Exxonmobil corp. (standard oil of new jersey),XOM,"",356280066.0,12231095000.0,0.405227,0.5743,44,-5786862.0,-1.598285,reduction,8.4262159,Q2 2002,ENERGY,13F,09/30/2020,70.59,41.6
Texas instruments  inc.,TXN,"",85437952.0,12199686000.0,0.404187,0.3902,45,-1213218.0,-1.400117,reduction,9.3278598,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2020,45.32,161.64
Amgen  inc.,AMGN,"",47937060.0,12183683000.0,0.403656,0.4088,46,-929108.0,-1.901332,reduction,8.1846627,Q2 2002,HEALTH CARE,13F,09/30/2020,90.11,222.93
Qualcomm inc.,QCOM,"",103491998.0,12178937000.0,0.403499,0.337,47,-674569.0,-0.647587,reduction,9.1726606,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2020,52.79,148.79
Bristol-myers squibb co,BMY,"",200065592.0,12061953000.0,0.399623,0.4252,48,-3822794.0,-1.874944,reduction,8.8762819,Q2 2002,HEALTH CARE,13F,09/30/2020,48.35,61.15
Medtronic plc,MDT,"",111875583.0,11626110000.0,0.385184,0.3679,49,-1237067.0,-1.093659,reduction,8.3227431,Q2 2002,HEALTH CARE,13F,09/30/2020,63.54,114.03
Chevron corp. (standard oil of california),CVX,"",158632038.0,11421508000.0,0.378405,0.5124,50,-3267235.0,-2.018067,reduction,8.4953153,Q2 2002,ENERGY,13F,09/30/2020,82.89,85.33
Union pacific corp.,UNP,"",57011459.0,11223846000.0,0.371856,0.3473,51,-905892.0,-1.564112,reduction,8.3983796,Q2 2002,TRANSPORTS,13F,09/30/2020,73.94,203.39
Oracle corp,ORCL,"",179555002.0,10719434000.0,0.355145,0.3714,52,-9876166.0,-5.213591,reduction,5.9635230,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2020,25.35,64.96
Lowes companies  inc.,LOW,"",63783544.0,10579138000.0,0.350496,0.3082,53,-524963.0,-0.81632,reduction,8.4399235,Q2 2002,CONSUMER DISCRETIONARY,13F,09/30/2020,34.7,162.77
Danaher corp.,DHR,"",49122337.0,10577515000.0,0.350443,0.3119,54,-607117.0,-1.22084,reduction,6.9244044,Q4 2019,HEALTH CARE,13F,09/30/2020,153.05,221.49
Linde plc (praxair inc.),LIN,"",43285870.0,10307665000.0,0.341502,0.33,55,-577257.0,-1.316042,reduction,8.2392773,Q2 2002,MATERIALS,13F,09/30/2020,120.27,256.62
Lilly (eli) & co.,LLY,"",69165364.0,10237856000.0,0.339189,0.417,56,-2439723.0,-3.407192,reduction,7.2313128,Q2 2002,HEALTH CARE,13F,09/30/2020,62.77,166.66
United parcel service  inc. class b,UPS,"",57442654.0,9571670000.0,0.317118,0.2283,57,-461443.0,-0.796909,reduction,6.6532644,Q2 2002,TRANSPORTS,13F,09/30/2020,81.76,172.19
Prologis  inc.,PLD,"",93944751.0,9452720000.0,0.313177,0.3188,58,-2355736.0,-2.446235,reduction,12.7164077,Q2 2002,REAL ESTATE,13F,09/30/2020,48.71,97.24
Philip morris international inc,PM,"",123690096.0,9275520000.0,0.307306,0.3136,59,-2517050.0,-1.99438,reduction,7.9426635,Q1 2008,CONSUMER STAPLES,13F,09/30/2020,68.4,82.51
International business machines corp,IBM,"",74167799.0,9023997000.0,0.298973,0.3215,60,-876325.0,-1.167746,reduction,8.3280450,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2020,118.0,124.69
Crown castle international corp,CCI,"",53131773.0,8846440000.0,0.293091,0.3197,61,-734376.0,-1.363335,reduction,12.6604213,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,87.51,154.0
Honeywell international inc. (allied chemical and dye - allied signal),HON,"",52096265.0,8575566000.0,0.284116,0.2718,62,-908985.0,-1.714896,reduction,7.4234133,Q2 2002,INDUSTRIALS,13F,09/30/2020,67.04,209.53
Equinix inc,EQIX,"",11252682.0,8553501000.0,0.283385,0.281,63,-29176.0,-0.25861,reduction,12.7066940,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2020,290.25,705.94
Lockheed martin corp.,LMT,"",21967889.0,8419853000.0,0.278957,0.2879,64,-278699.0,-1.252772,reduction,7.8585275,Q2 2002,INDUSTRIALS,13F,09/30/2020,155.56,351.97
Advanced micro devices inc,AMD,"",95830991.0,7857183000.0,0.260316,0.1809,65,-1087863.0,-1.122447,reduction,8.1623818,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2020,13.42,91.81
Starbucks corp.,SBUX,"",89811496.0,7716604000.0,0.255658,0.2375,66,-1190946.0,-1.308697,reduction,7.6827627,Q2 2002,CONSUMER DISCRETIONARY,13F,09/30/2020,36.52,102.01
Servicenow inc,NOW,"",15517646.0,7526059000.0,0.249345,0.2246,67,-116312.0,-0.74397,reduction,8.0904928,Q3 2012,INFORMATION TECHNOLOGY,13F,09/30/2020,138.55,553.89
Wells fargo & co.  (northwest bancorporation),WFC,"",319589647.0,7513552000.0,0.248931,0.276,68,15612037.0,5.135917,addition,7.7569416,Q2 2002,FINANCE,13F,09/30/2020,33.887,29.84
Raytheon technologies corp. (united technologies),RTX,"",129358164.0,7443270000.0,0.246602,0.2813,69,672779.0,0.522809,addition,8.4677590,Q2 2002,INDUSTRIALS,13F,09/30/2020,44.7469,70.27
S&p global inc. (mcgraw-hill inc.),SPGI,"",20551872.0,7411006000.0,0.245533,0.2425,70,-201462.0,-0.970745,reduction,8.5277477,Q2 2002,COMMUNICATIONS,13F,09/30/2020,68.14,316.58
Citigroup  inc.,C,"",169694717.0,7315540000.0,0.24237,0.3126,71,-2760433.0,-1.600667,reduction,8.1510917,Q2 2002,FINANCE,13F,09/30/2020,3810.78,60.57
Fidelity national information services inc,FIS,"",49502568.0,7287273000.0,0.241434,0.2379,72,-518017.0,-1.035608,reduction,7.9893947,Q2 2002,FINANCE,13F,09/30/2020,93.39,140.79
3m co. (minnesota mining & manufacturing),MMM,"",45361184.0,7265954000.0,0.240728,0.2543,73,-605748.0,-1.317791,reduction,7.8749397,Q2 2002,INDUSTRIALS,13F,09/30/2020,102.96,174.52
Blackrock inc. class a,BLK,"",12464683.0,7024472000.0,0.232727,0.25,74,-490618.0,-3.787006,reduction,8.1744439,Q2 2002,FINANCE,13F,09/30/2020,344.35,707.18
Charter communications inc,CHTR,"",11247414.0,7022210000.0,0.232652,0.2084,75,-271590.0,-2.357756,reduction,5.4892431,Q4 2010,COMMUNICATIONS,13F,09/30/2020,210.63,656.49
Caterpillar inc.,CAT,"",46343821.0,6912182000.0,0.229007,0.2106,76,-592149.0,-1.26161,reduction,8.5583118,Q2 2002,INDUSTRIALS,13F,09/30/2020,84.16,179.56
Target corp.,TGT,"",43466167.0,6842445000.0,0.226696,0.1897,77,-1136639.0,-2.548358,reduction,8.6825045,Q2 2002,CONSUMER DISCRETIONARY,13F,09/30/2020,57.48,175.19
Intuit  inc.,INTU,"",20595521.0,6718465000.0,0.222589,0.2179,78,-146529.0,-0.706435,reduction,7.8666747,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2020,76.63,381.16
Boeing company,BA,"",40591391.0,6708133000.0,0.222247,0.2687,79,-731901.0,-1.771159,reduction,7.1913335,Q2 2002,INDUSTRIALS,13F,09/30/2020,100.98,217.15
Intuitive surgical inc,ISRG,"",9195184.0,6524352000.0,0.216158,0.1878,80,-96135.0,-1.034675,reduction,7.8573936,Q2 2002,HEALTH CARE,13F,09/30/2020,295.19,807.0
Gilead sciences inc.,GILD,"",102722460.0,6491033000.0,0.215054,0.286,81,-2090879.0,-1.99486,reduction,8.1933846,Q2 2002,HEALTH CARE,13F,09/30/2020,45.94,57.07
Mondelez international inc. (kraft foods),MDLZ,"",109630057.0,6298247000.0,0.208667,0.2025,82,-2042411.0,-1.82893,reduction,7.6753563,Q2 2002,CONSUMER STAPLES,13F,09/30/2020,29.03,57.85
Cvs health corp. (melville shoe),CVS,"",106157017.0,6199568000.0,0.205397,0.2471,83,-1050300.0,-0.979691,reduction,8.1116174,Q2 2002,CONSUMER STAPLES,13F,09/30/2020,52.38,67.97
Zoetis  inc.,ZTS,"",37450478.0,6193186000.0,0.205186,0.1851,84,-621980.0,-1.633674,reduction,7.8819100,Q1 2013,HEALTH CARE,13F,09/30/2020,43.1,160.72
Digital realty trust  inc.,DLR,"",41650085.0,6112566000.0,0.202515,0.2132,85,-638251.0,-1.509284,reduction,14.9406747,Q4 2004,REAL ESTATE,13F,09/30/2020,92.98,137.43
Stryker corp.,SYK,"",28707413.0,5981763000.0,0.198181,0.1845,86,-162019.0,-0.561213,reduction,7.6429629,Q2 2002,HEALTH CARE,13F,09/30/2020,85.78,237.06
Altria group  inc. (philip morris),MO,"",153065073.0,5914434000.0,0.195951,0.2129,87,164718.0,0.107729,addition,8.2364025,Q2 2002,CONSUMER STAPLES,13F,09/30/2020,31.9372,41.72
Colgate-palmolive co.,CL,"",76215965.0,5880062000.0,0.194812,0.2004,88,-911415.0,-1.181701,reduction,8.8891939,Q2 2002,CONSUMER STAPLES,13F,09/30/2020,49.31,85.04
Air products & chemicals inc,APD,"",19259380.0,5736600000.0,0.190059,0.1679,89,-348002.0,-1.774852,reduction,8.7188186,Q2 2002,MATERIALS,13F,09/30/2020,95.36,268.35
Becton  dickinson and co.,BDX,"",24570326.0,5717025000.0,0.18941,0.213,90,-528590.0,-2.106027,reduction,8.4763683,Q4 2019,HEALTH CARE,13F,09/30/2020,269.76,247.99
Vertex pharmaceuticals  inc.,VRTX,"",20689919.0,5630141000.0,0.186532,0.2149,91,-183238.0,-0.877864,reduction,7.9433834,Q2 2002,HEALTH CARE,13F,09/30/2020,85.24,234.46
Sba communications corp.,SBAC,"",17627673.0,5614062000.0,0.185999,0.1901,92,-366616.0,-2.037402,reduction,15.7476344,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,110.76,275.02
Dominion energy inc,D,"",70099575.0,5532959000.0,0.183312,0.2047,93,-989993.0,-1.3926,reduction,8.3438380,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,60.58,74.23
Duke energy corp.,DUK,"",62454490.0,5530969000.0,0.183246,0.1795,94,-877040.0,-1.384839,reduction,8.4922166,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,192.02,89.67
Booking holdings inc. (priceline),BKNG,"",3153152.0,5394034000.0,0.178709,0.1823,95,-74529.0,-2.309057,reduction,7.7002623,Q2 2002,CONSUMER DISCRETIONARY,13F,09/30/2020,643.42,2088.35
Automatic data processing inc,ADP,"",38181543.0,5325944000.0,0.176453,0.2037,96,-385724.0,-1.000133,reduction,8.8826083,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2020,61.17,176.56
