Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Apple inc,AAPL,"",1069771045.0,123890183000.0,4.5635,4.0109,1,-32053003.0,-2.909085,reduction,6.1703297,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2020,8.92,131.97
Microsoft corp.,MSFT,"",516065148.0,108543983000.0,3.99822,4.2389,2,-5776485.0,-1.106942,reduction,6.8193554,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2020,69.92,222.75
Amazon.com inc.,AMZN,"",27661214.0,87097695000.0,3.20825,3.0743,3,-256943.0,-0.920344,reduction,5.5224168,Q4 2008,CONSUMER DISCRETIONARY,13F,09/30/2020,1011.93,3172.69
Facebook inc,FB,"",158351360.0,41472219000.0,1.52763,1.4617,4,-2922073.0,-1.811875,reduction,5.5584976,Q2 2012,COMMUNICATIONS,13F,09/30/2020,146.94,267.4
Alphabet inc. class a,GOOGL,"",20386855.0,29878973000.0,1.10059,1.164,5,-179001.0,-0.87038,reduction,2.9973456,Q3 2007,COMMUNICATIONS,13F,09/30/2020,875.19,1734.16
Alphabet inc. class c,GOOG,"",20032538.0,29439816000.0,1.08442,1.1474,6,-303015.0,-1.490075,reduction,2.9452527,Q2 2014,COMMUNICATIONS,13F,09/30/2020,855.58,1738.85
Johnson & johnson co.,JNJ,"",193748779.0,28845318000.0,1.06252,1.0874,7,34735.0,0.017931,addition,7.3589734,Q3 2007,HEALTH CARE,13F,09/30/2020,124.6144,152.47
Alibaba group holding ltd adr,BABA,"",89129456.0,26202277000.0,0.965162,0.7833,8,-1845024.0,-2.028068,reduction,3.2942139,Q3 2014,COMMUNICATIONS,13F,09/30/2020,139.83,222.0
Visa inc,V,"",127409317.0,25478039000.0,0.938485,0.9736,9,1130933.0,0.895587,addition,5.9876589,Q2 2008,FINANCE,13F,09/30/2020,96.239,208.7
Berkshire hathaway inc class b,BRK.B,"",113019912.0,24066460000.0,0.88649,0.7991,10,872064.0,0.777602,addition,4.7324011,Q3 2007,FINANCE,13F,09/30/2020,169.2299,226.53
Nvidia corp.,NVDA,"",43968050.0,23796388000.0,0.876541,0.6612,11,365130.0,0.837398,addition,7.1178667,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2020,136.4495,519.75
Unitedhealth group inc.,UNH,"",73223633.0,22828933000.0,0.840905,0.8635,12,-123829.0,-0.168825,reduction,7.7050276,Q4 2008,HEALTH CARE,13F,09/30/2020,172.65,340.79
Mastercard inc,MA,"",67051628.0,22674849000.0,0.835229,0.793,13,-137809.0,-0.205105,reduction,6.6980570,Q3 2007,FINANCE,13F,09/30/2020,124.0,336.0
Procter & gamble co. (oh) (1905),PG,"",162697093.0,22613270000.0,0.832961,0.7857,14,-1929756.0,-1.1722,reduction,6.5350134,Q3 2007,CONSUMER STAPLES,13F,09/30/2020,89.92,137.72
Home depot  inc. (the),HD,"",72511974.0,20137298000.0,0.741759,0.7255,15,-42040.0,-0.057943,reduction,6.7361793,Q3 2007,CONSUMER DISCRETIONARY,13F,09/30/2020,149.3,270.92
Ishares core s&p 500 etf,IVV,"",55604281.0,18686374000.0,0.688314,0.6747,16,1020868.0,1.87029,addition,No Data,Q4 2009,FINANCE,13F,09/30/2020,233.9399,370.31
Jpmorgan chase & co. (chemical bank),JPM,"",194072559.0,18683367000.0,0.688203,0.7414,17,-3414031.0,-1.728741,reduction,6.3680363,Q3 2007,FINANCE,13F,09/30/2020,87.14,124.52
Adobe systems  inc.,ADBE,"",37012598.0,18152086000.0,0.668633,0.6615,18,-1056924.0,-2.7763,reduction,7.7154750,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2020,162.88,499.86
Verizon communications (bell atlantic corp.),VZ,"",300991299.0,17905972000.0,0.659568,0.6823,19,-9056843.0,-2.921109,reduction,7.2737405,Q3 2007,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,49.83,58.84
Intel corp.,INTC,"",320571576.0,16599197000.0,0.611432,0.7456,20,8344598.0,2.672606,addition,7.5375400,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2020,37.638,47.07
Merck & co,MRK,"",196888895.0,16331932000.0,0.601588,0.6098,21,-669398.0,-0.338836,reduction,7.7845049,Q3 2007,HEALTH CARE,13F,09/30/2020,65.12,80.14
Tesla inc,TSLA,"",38019526.0,16310756000.0,0.600808,0.3327,22,-579314.0,-1.500859,reduction,4.0726183,Q3 2010,CONSUMER DISCRETIONARY,13F,09/30/2020,14.24,661.77
Salesforce.com inc.,CRM,"",64198317.0,16134322000.0,0.594309,0.4845,23,-597829.0,-0.92263,reduction,7.0547601,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2020,106.81,225.78
Paypal holdings inc,PYPL,"",81197889.0,15998421000.0,0.589303,0.558,24,963897.0,1.201357,addition,6.9204726,Q3 2015,COMMUNICATIONS,13F,09/30/2020,60.0753,238.64
Pfizer  inc.,PFE,"",437165930.49,15222003000.0,0.560703,0.558,25,-13455331.33,-2.985951,reduction,7.4640527,Q3 2007,HEALTH CARE,13F,09/30/2020,34.25,37.27
Coca cola co.,KO,"",301442831.0,14882230000.0,0.548188,0.5315,26,3404545.0,1.142318,addition,7.0177422,Q3 2007,CONSUMER STAPLES,13F,09/30/2020,43.3389,53.44
Abbott laboratories,ABT,"",135019032.0,14694122000.0,0.541259,0.4917,27,273599.0,0.203049,addition,7.6259104,Q3 2007,HEALTH CARE,13F,09/30/2020,51.4565,108.35
Comcast corp.  class a,CMCSA,"",315259401.0,14583900000.0,0.537199,0.4918,28,-845951.0,-0.267617,reduction,6.9013235,Q3 2007,COMMUNICATIONS,13F,09/30/2020,37.2,50.38
Netflix inc,NFLX,"",29022083.0,14511911000.0,0.534547,0.5298,29,-149052.0,-0.510957,reduction,6.5807408,Q2 2009,COMMUNICATIONS,13F,09/30/2020,180.46,513.97
Pepsico inc. (loft  inc.),PEP,"",103054198.0,14283311000.0,0.526127,0.5485,30,-848389.0,-0.816523,reduction,7.4427094,Q3 2007,CONSUMER STAPLES,13F,09/30/2020,112.41,145.06
Walt disney co. (the),DIS,"",114995699.0,14268664000.0,0.525587,0.5087,31,700871.0,0.613213,addition,6.3636783,Q3 2007,COMMUNICATIONS,13F,09/30/2020,111.4773,173.73
At&t inc. (southwestern bell - sbc corp.),T,"",481902231.0,13739032000.0,0.506078,0.5917,32,-8498189.0,-1.732908,reduction,6.7635401,Q3 2007,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,39.09,28.69
Thermo fisher scientific  inc.,TMO,"",28879709.0,12750968000.0,0.469683,0.4188,33,-76232.0,-0.263269,reduction,7.3004254,Q3 2007,HEALTH CARE,13F,09/30/2020,180.38,458.09
Cisco systems  inc.,CSCO,"",321423547.0,12660874000.0,0.466364,0.5914,34,3721337.0,1.171329,addition,7.5925173,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2020,34.438,44.54
Bank of america corp. (north carolina national bank),BAC,"",509925375.0,12284101000.0,0.452486,0.5023,35,-19908240.0,-3.757451,reduction,5.8854989,Q3 2007,FINANCE,13F,09/30/2020,23.24,29.96
Amgen  inc.,AMGN,"",47985428.0,12195975000.0,0.449239,0.4588,36,-744156.0,-1.527113,reduction,8.1929210,Q3 2007,HEALTH CARE,13F,09/30/2020,167.12,222.93
Walmart inc,WMT,"",87111067.0,12187710000.0,0.448935,0.4228,37,-1315987.0,-1.488218,reduction,3.0740530,Q3 2007,CONSUMER STAPLES,13F,09/30/2020,74.83,143.5
Ishares core msci total international stock etf,IXUS,"",204907580.0,11954308000.0,0.440338,0.4391,38,3138073.0,1.555276,addition,No Data,Q2 2015,FINANCE,13F,09/30/2020,55.6617,66.33
Nike inc.,NKE,"",93294540.0,11712197000.0,0.431419,0.3745,39,-2391046.0,-2.498857,reduction,5.9808465,Q3 2007,CONSUMER DISCRETIONARY,13F,09/30/2020,61.01,141.6
Medtronic plc,MDT,"",112167184.0,11656415000.0,0.429365,0.407,40,957298.0,0.860803,addition,8.3444361,Q3 2007,HEALTH CARE,13F,09/30/2020,83.0893,114.03
