Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Spdr s&p 500 etf trust,SPY,"",72695071.0,24161661000.0,4.06119,4.0455,1,4714869.0,6.93565,addition,No Data,Q1 2001,FINANCE,13F,09/30/2020,190.6444,369.0
Microsoft corp.,MSFT,"",71397438.0,14797835000.0,2.48728,2.9516,2,-3754267.0,-4.995585,reduction,0.9434555,Q1 2001,INFORMATION TECHNOLOGY,13F,09/30/2020,45.49,222.75
Apple inc,AAPL,"",124573247.0,14212560000.0,2.38891,2.2718,3,-4506353.0,-3.491143,reduction,0.7185257,Q1 2001,INFORMATION TECHNOLOGY,13F,09/30/2020,7.23,131.97
Amazon.com inc.,AMZN,"",3875361.0,12187545000.0,2.04853,2.0321,4,58537.0,1.533657,addition,0.7736956,Q1 2001,CONSUMER DISCRETIONARY,13F,09/30/2020,572.7862,3172.69
Spdr s&p 500 etf trust,SPY,PUT,28189800.0,9369444000.0,1.57486,0.7665,5,15308700.0,118.846217,addition,No Data,Q2 2008,FINANCE,13F,09/30/2020,,369.0
Spdr s&p 500 etf trust,SPY,CALL,25052200.0,8326600000.0,1.39957,0.4639,6,17256700.0,221.367456,addition,No Data,Q1 2009,FINANCE,13F,09/30/2020,,369.0
Vanguard total international bond etf,BNDX,"",122758326.0,7151286000.0,1.20202,1.4338,7,-5933928.0,-4.610944,reduction,No Data,Q2 2014,FINANCE,13F,09/30/2020,56.51,58.46
Alibaba group holding ltd adr,BABA,"",21142316.0,5854939000.0,0.984123,1.1606,8,-6737872.0,-24.16724,reduction,0.7814174,Q3 2014,COMMUNICATIONS,13F,09/30/2020,134.67,222.0
Mastercard inc,MA,"",15422569.0,5185528000.0,0.871605,0.8437,9,637124.0,4.30913,addition,1.5406225,Q2 2006,FINANCE,13F,09/30/2020,115.1886,336.0
Taiwan semiconductor manufacturing co ltd adr,TSM,"",63527184.0,5114577000.0,0.859679,0.8044,10,-9893813.0,-13.475454,reduction,1.2249567,Q1 2001,INFORMATION TECHNOLOGY,13F,09/30/2020,24.9,105.97
Invesco qqq trust series 1,QQQ,PUT,17532700.0,4838149000.0,0.813216,0.3413,11,10389700.0,145.452891,addition,No Data,Q1 2008,FINANCE,13F,09/30/2020,,309.56
Facebook inc,FB,"",18365905.0,4808011000.0,0.808151,0.7278,12,1757365.0,10.581093,addition,0.6446856,Q2 2012,COMMUNICATIONS,13F,09/30/2020,152.1887,267.4
Tesla inc,TSLA,"",11341387.0,4752835000.0,0.798876,0.5732,13,-2412908.0,-17.542942,reduction,1.2148794,Q3 2010,CONSUMER DISCRETIONARY,13F,09/30/2020,16.34,661.77
Texas instruments  inc.,TXN,"",33569215.0,4750043000.0,0.798407,0.7906,14,1305791.0,4.04728,addition,3.6649864,Q1 2001,INFORMATION TECHNOLOGY,13F,09/30/2020,80.7893,161.64
Ishares russell 2000 etf,IWM,PUT,33168100.0,4664553000.0,0.784038,0.4238,15,15326600.0,85.904212,addition,No Data,Q4 2015,FINANCE,13F,09/30/2020,,199.01
Jpmorgan betabuilders europe etf,BBEU,"",202651677.0,4658962000.0,0.783098,0.9528,16,-20042634.0,-9.000066,reduction,No Data,Q2 2018,FINANCE,13F,09/30/2020,22.58,26.08
Unitedhealth group inc.,UNH,"",15038210.0,4573871000.0,0.768795,0.8903,17,-603348.0,-3.85734,reduction,1.5824102,Q1 2001,HEALTH CARE,13F,09/30/2020,113.4,340.79
Alphabet inc. class a,GOOGL,"",3054384.0,4477788000.0,0.752645,0.7559,18,292233.0,10.579907,addition,0.4490661,Q3 2004,COMMUNICATIONS,13F,09/30/2020,674.9862,1734.16
Jpmorgan betabuilders japan etf,BBJP,"",179300276.0,4464576000.0,0.750425,0.7801,19,3006783.0,1.705555,addition,No Data,Q2 2018,FINANCE,13F,09/30/2020,23.0673,27.28
Nextera energy inc.,NEE,"",58049520.0,4108743000.0,0.690615,0.6169,20,4810388.0,9.035437,addition,2.9638408,Q1 2001,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,34.5023,74.98
Bristol-myers squibb co,BMY,"",66361034.0,3975029000.0,0.668139,0.7325,21,1807968.0,2.800747,addition,2.9442306,Q1 2001,HEALTH CARE,13F,09/30/2020,54.3951,61.15
Alphabet inc. class c,GOOG,"",2683061.0,3942304000.0,0.662639,0.8801,22,-542842.0,-16.827598,reduction,0.3944729,Q2 2014,COMMUNICATIONS,13F,09/30/2020,605.78,1738.85
Home depot  inc. (the),HD,"",14078220.0,3830824000.0,0.643901,0.7047,23,-497457.0,-3.412926,reduction,1.3078311,Q1 2001,CONSUMER DISCRETIONARY,13F,09/30/2020,62.05,270.92
Paypal holdings inc,PYPL,"",19006679.0,3696801000.0,0.621374,0.6305,24,253953.0,1.354219,addition,1.6199338,Q3 2015,COMMUNICATIONS,13F,09/30/2020,71.6381,238.64
Jpmorgan betabuilders canada etf,BBCA,"",145953925.0,3489759000.0,0.586573,0.6307,25,1406544.0,0.973068,addition,No Data,Q3 2018,FINANCE,13F,09/30/2020,23.7906,27.06
Johnson & johnson co.,JNJ,"",23555455.0,3464066000.0,0.582255,0.6292,26,372601.0,1.607227,addition,0.8946842,Q1 2001,HEALTH CARE,13F,09/30/2020,115.0045,152.47
Nvidia corp.,NVDA,"",6381701.0,3376111000.0,0.567471,0.4532,27,199740.0,3.231014,addition,1.0331160,Q4 2001,INFORMATION TECHNOLOGY,13F,09/30/2020,127.3618,519.75
Norfolk southern corp.,NSC,"",15079816.0,3254374000.0,0.547009,0.521,28,-296115.0,-1.925835,reduction,5.9111209,Q1 2001,TRANSPORTS,13F,09/30/2020,139.82,234.39
Ishares s&p 500 growth etf,IVW,"",54173340.0,3110227000.0,0.52278,0.5599,29,-1759284.0,-3.145363,reduction,No Data,Q2 2004,FINANCE,13F,09/30/2020,40.07,63.03
Advanced micro devices inc,AMD,"",37940690.0,3102411000.0,0.521466,0.3339,30,5055614.0,15.373582,addition,3.2315892,Q1 2001,INFORMATION TECHNOLOGY,13F,09/30/2020,33.9027,91.81
Ishares core s&p 500 etf,IVV,"",9204828.0,3069903000.0,0.516002,0.5496,31,9448.0,0.102747,addition,No Data,Q2 2003,FINANCE,13F,09/30/2020,230.5484,370.31
Analog devices inc,ADI,"",26039376.0,3037493000.0,0.510554,0.5169,32,4199225.0,19.227088,addition,7.0460527,Q1 2001,INFORMATION TECHNOLOGY,13F,09/30/2020,83.9203,144.47
Procter & gamble co. (oh) (1905),PG,"",22093271.0,3032522000.0,0.509719,0.5185,33,-374808.0,-1.66818,reduction,0.8874149,Q1 2001,CONSUMER STAPLES,13F,09/30/2020,85.96,137.72
